timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
0.0,0.29367,0,0.05375,10.672,1.947,5.589,0.0,1.6333,0.0,0.2955,0.03095,4.377,1.664,1.8004,Confused
0.19980000000000003,0.25833,0,0.03335,1.664,1.043,0.574,0.215,0.1897,1.0,0.24646,0.01262,1.446,0.811,2.1413,Sad
0.7326,0.24544,0,0.0332,-1.538,0.176,0.97,0.797,0.2471,1.0,0.24595,0.01336,1.387,0.831,2.1277,Sad
0.8325000000000001,0.31323,0,0.03983,9.5,1.013,1.0,3.655,0.2132,0.7692,0.30479,0.02926,3.615,1.657,2.0995,Confused
0.2997,0.36363,0,0.03864,3.662,0.706,0.879,4.282,0.227,0.9,0.32878,0.03298,2.326,1.351,2.1739,Focused
0.3663,0.23666,0,0.04651,-0.271,1.048,0.783,0.842,0.2681,1.0,0.24443,0.01683,1.448,0.925,2.1936,Sad
0.5328,0.36,0,0.05917,15.09,2.419,4.364,4.636,1.2692,0.7647,0.2955,0.03095,4.377,1.664,1.8004,Confused
0.0333,0.33892,0,0.10574,-12.279,1.819,1.99,4.264,0.5404,0.5,0.29987,0.02243,4.329,1.62,2.0928,Confused
0.23310000000000003,0.18583,1,0.0342,2.225,0.1,4.153,0.305,1.1754,0.875,0.19894,0.01724,4.278,1.387,1.8957,Stressed
0.8325000000000001,0.35358,0,0.018,-9.014,0.72,1.255,2.101,0.3883,0.9615,0.32878,0.03298,2.326,1.351,2.1739,Focused
0.8991000000000001,0.33508,0,0.04251,-13.96,0.4,3.959,1.301,1.1056,0.5714,0.29889,0.02671,4.194,1.946,2.0201,Confused
0.666,0.20912,1,0.0937,-4.18,10.419,14.392,7.294,4.1413,0.0,0.20909,0.02127,20.917,4.261,1.7057,Angry
0.8325000000000001,0.12814,1,0.01525,-2.484,0.561,1.608,0.212,0.4865,1.0,0.13786,0.01637,1.173,0.705,2.0928,Exhausted
0.5661,0.33689,0,0.0777,-15.832,8.532,17.923,5.053,5.0822,0.0,0.32547,0.02956,22.137,5.133,1.6634,Distracted
0.8991000000000001,0.30748,0,0.04757,11.0,9.478,20.131,2.473,5.7865,0.0,0.31806,0.03518,22.418,5.474,1.8184,Distracted
0.49950000000000006,0.323,0,0.05535,-18.867,15.364,25.329,6.804,7.2299,0.0,0.32056,0.03425,23.222,5.965,1.8382,Distracted
0.7326,0.31571,0,0.09228,-22.166,7.0,13.153,0.153,3.8147,0.0,0.32793,0.03202,22.815,7.405,1.6957,Distracted
0.2997,0.19724,1,0.02031,-1.342,1.2,4.393,1.943,1.1862,0.7,0.19997,0.02144,4.172,1.478,1.9302,Stressed
0.1332,0.14215,1,0.02229,-0.13,0.334,1.316,1.21,0.345,1.0,0.14311,0.0207,0.824,0.455,2.0777,Exhausted
0.0,0.20724,1,0.05453,-1.939,6.252,19.386,0.0,5.6117,0.0,0.20853,0.01523,22.048,4.366,1.6172,Angry
0.1332,0.33386,0,0.05647,-3.253,0.607,2.684,0.616,0.7779,0.8,0.33634,0.02952,2.535,1.304,1.8928,Focused
0.6993,0.28385,0,0.08334,18.438,1.582,3.3,3.311,0.9219,0.6818,0.29603,0.02482,4.35,1.706,1.7557,Confused
0.46620000000000006,0.33596,0,0.06914,-6.75,0.121,0.141,0.054,0.0109,0.9333,0.32878,0.03298,2.326,1.351,2.1739,Focused
0.0333,0.36,0,0.07729,15.407,0.4,1.7,0.665,0.4601,1.0,0.29846,0.03219,4.16,1.895,2.0433,Confused
0.1332,0.17267,1,0.06485,4.202,1.413,3.393,2.393,0.9752,0.4,0.19871,0.01881,4.008,1.642,2.1413,Stressed
0.19980000000000003,0.18569,1,0.02794,5.887,0.996,5.646,2.749,1.6336,0.8571,0.20118,0.01693,3.813,1.332,1.9532,Stressed
